DT_LEITURA,VL_TEMP_MEDIA
2021-03-06,21.7168364
2021-03-07,21.2930545
2021-03-08,21.9956000
2021-03-09,22.2164727
2021-03-10,21.2637091
2021-03-11,22.3820182
2021-03-12,23.3123455
2021-03-13,23.4782909
2021-03-14,23.7413273
2021-03-15,23.2381818
2021-03-16,23.3264182
2021-03-17,23.8793636
2021-03-18,23.2095455
2021-03-19,22.3536000
2021-03-20,23.2217818
2021-03-21,23.6850727
2021-03-22,25.1514727
2021-03-23,24.0316000
2021-03-24,24.7001818
2021-03-25,23.7566364
2021-03-26,24.6506182
2021-03-27,24.9721818
2021-03-28,25.3534909
2021-03-29,24.3411818
2021-03-30,23.9869455
2021-03-31,20.5254727
2021-04-01,19.3106364
2021-04-02,19.7585636
2021-04-03,19.9963455
2021-04-04,20.4938000
2021-04-05,20.6536545
2021-04-06,19.9452182
2021-04-07,20.0137455
2021-04-08,20.2723455
2021-04-09,20.4413636
2021-04-10,21.4174364
2021-04-11,21.5686000
2021-04-12,22.5752727
